Product URL,Product Name,Product Price,Ratings,Number_of_Reviews
https://www.amazon.in//Lunars-V-Line-Resistant-Bagpack-College/dp/B08BP5CYDV/ref=sr_1_63,"Lunar's V-Line Backpack for Men, Blue | 35L Water Resistant School Bags for Boys | Stylish, & Durable | College Bags for Men/College Bag for Girls | 1 Yr Warranty",₹799,4.1,"2,630"
https://www.amazon.in//American-Tourister-AMT-SCH-BAG02/dp/B07CGLDV2C/ref=sr_1_64,American Tourister Casual Backpack,"₹1,249",4.2,"4,050"
https://www.amazon.in//NORTH-ZONE-Lightweight-Backpacks-Stylish/dp/B0BL3S5NC1/ref=sr_1_65,NORTH ZONE Lightweight school bags Backpacks for Boys Girls Stylish men and women Casual Travel Laptop Bag College office,₹630,3.9,830
https://www.amazon.in//TRUE-EMPEROR-charging-college-CAPTAIN/dp/B0C6HZDWRQ/ref=sr_1_66,"TRUE HUMAN® EMPEROR 15.6 inch laptop bag with USB charging port Laptop bag,office bag, college bags anti theft (CAPTAIN)",₹649,3.8,8
https://www.amazon.in//Lavie-Sport-Duffle-Luggage-Wheeler/dp/B0992JCN1W/ref=sr_1_67,Lavie Sport Lino M Duffle Wheeler Bag for Travel | 2 Wheel Luggage Bag | Travel Bag with Adjustable Handle,₹749,3.8,"3,270"
https://www.amazon.in//Martucci-Waterproof-Backpack-College-Business/dp/B0BRJRVH6D/ref=sr_1_68,Martucci Jersey 45L Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack,₹809,3.6,156
https://www.amazon.in//sspa/click,F Gear Bi Frost Executive 28 Liter Laptop Backpack (Brown),₹919,4.3,662
https://www.amazon.in//sspa/click,F Gear Samurai 29 Ltrs Black Casual Backpack,"₹1,249",4.1,90
N/A,N/A,N/A,N/A,N/A
https://www.amazon.in//sspa/click,"WALKENT Waterproof Laptop Bag for Men with Side Bottle Pockets, Cushioned Straps & More P4","₹2,990",N/A,N/A
https://www.amazon.in//sspa/click,F Gear Bi Frost Executive 27 Ltrs Olive Green Laptop Backpack (3140),₹919,4.3,662
https://www.amazon.in//Half-Moon-Trekking-Bags-Compartment/dp/B08PSX1LN9/ref=sr_1_67,Half Moon 45L Hammer Waterproof Laptop Travelling Rucksack Trekking Backpack for Travel Journey bags for Men Women Boys & Girls with 17.3inch Laptop Compartment & Rain cover,"₹1,399",4.1,"1,363"
https://www.amazon.in//ROZEN-School-partition-Collage-Backpack/dp/B0BRTDXVZC/ref=sr_1_68,"ROZEN 47 Ltrs, 46 cms School Bag Class 5-12 Large 5 partition Laptop Collage Office Travel Backpack Unisex",₹697,4.1,155
https://www.amazon.in//School-school-partition-Collage-Backpack/dp/B09NNYCQ1Q/ref=sr_1_69,URBAN CARRIER School Bag For girls school bags for boys Class 5-10 Large 4 partition 45 L Laptop Collage Office Travel Unisex Backpack,₹431,3.5,954
https://www.amazon.in//Waterproof-Backpack-College-Business-Dimensions/dp/B0BW95MXRJ/ref=sr_1_70,NORTH ZONE Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L (Blue & black),₹486,4.5,2
https://www.amazon.in//BEAUTY-GIRLS-HOTSHOT-School-1565/dp/B0BFXCHQZ5/ref=sr_1_71,"BEAUTY GIRLS By HOTSHOT Girls School Bag (15ltr , Navy Blue, 1565)",₹499,3.7,272
https://www.amazon.in//STRAUSS-Jute-Yoga-Shoulder-Strap/dp/B0BBWM221J/ref=sr_1_72,"STRAUSS Yoga Mat Bag Cover with Shoulder Strap with Pocket for Men & Women, Drawstring and Full Zip,(Multicolor)",₹179,3.6,739
https://www.amazon.in//Tinytot-School-Backpack-College-Multipurpose/dp/B09C5JVWCW/ref=sr_1_73,Tinytot School Bag School Backpack College Backpack Travel Backpack Office Backpack Multipurpose Backpack Picnic Bag for Boys & Girls,₹589,4.3,462
https://www.amazon.in//Lunars-Bingo-Laptop-Resistant-48L/dp/B08YZ5XY31/ref=sr_1_74,Lunar's Bingo - 48 L Laptop Office/School/Travel/Business Backpack Water Resistant - Fits Up to 15.6 Inch Laptop Notebook with 1 Year Warranty,₹899,3.9,"9,897"
https://www.amazon.in//sspa/click,F Gear CEO Black 25 liter Laptop Backpack,"₹1,160",4.4,690
https://www.amazon.in//sspa/click,BACDA 24 L Casual Laptop Backpack fits 15.6 inch/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Outdoor Backpack Multifunctional Laptop Bag,₹839,3.7,7
https://www.amazon.in//Tabelito-Laptop-Backpack-15-6-inch-Repellent/dp/B08Y5S6C2P/ref=sr_1_77,"TABELITO Casual Laptop Backpack 15.6-inch, 25 LTR Water Repellent",₹549,4.0,681
https://www.amazon.in//Veneer-Backpack-Fashion-Leather-College/dp/B09BMG8R6Y/ref=sr_1_78,"Veneer Medium 20 L Laptop Backpack Men Womens Girls Fashion PU Leather Mini Casual Backpack Bags for School, College, Tuition, Office Bag",₹998,4.2,930
https://www.amazon.in//Frantic-Velvet-School-Nursery-Travelling/dp/B091757GK4/ref=sr_1_79,"Frantic Velvet Kids Soft Cartoon Animal Travelling School Bag Soft Plush Backpacks Baby Girls Boys for 2 to 5 Years Baby/Boys/Girls Nursery, Picnic,Preschool",₹309,3.8,"5,219"
https://www.amazon.in//HEROZ-Hammer-Durable-Travel-Laptop/dp/B07MGDFT9C/ref=sr_1_80,HEROZ Hammer Unisex Nylon 45 L Travel Laptop Backpack Water Resistant Slim Durable Fits Up to 17.3 Inch Laptop Notebook (All) (Grey & Black),"₹1,359",4.2,"8,033"
https://www.amazon.in//F-Gear-Blackhawk-Black-Laptop-Backpack/dp/B07XMRGQCM/ref=sr_1_81,F Gear Blackhawk 40 Ltrs Black Laptop Backpack (3178),"₹1,430",4.3,"1,036"
https://www.amazon.in//Waterproof-Backpack-Students-adjustable-Compartment/dp/B09V5HRYR7/ref=sr_1_82,CAPRIFF 32 L Casual Waterproof Laptop Bag/Backpack for Men Boys & Girls For Office School College Teens & Students with Rain Cover With adjustable Strap With 2 Compartment,₹699,3.8,"3,102"
https://www.amazon.in//ADISA-Laptop-Backpack-Office-College/dp/B0BPVCBFM7/ref=sr_1_83,ADISA 32L Large Laptop Backpack Office Bag College Travel Back Pack with rain Cover (Green),₹646,3.8,261
https://www.amazon.in//Hilfiger-Connor-Backpack-TH-CONNORLAP07/dp/B07N99SXB1/ref=sr_1_84,Tommy Hilfiger Connor Laptop Backpack,"₹1,649",4.1,127
https://www.amazon.in//sspa/click,"Contacts 15 inch Everyday Laptop Versatile Backpack with USB Charging Port | Multi functional Bagpack, Black…",₹999,3.8,"1,151"
https://www.amazon.in//sspa/click,"Half Moon Vision Water Resistant 15.6 inch Laptop Bag for Men/Backpack for Men, Blue | Office Bag for Men/Office Bag for Women with Padded Laptop Compartment |",₹599,4.4,18
N/A,N/A,N/A,N/A,N/A
https://www.amazon.in//sspa/click,BACDA 24 L Casual Laptop Backpack fits 15.6 inch/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Outdoor Backpack Multifunctional Laptop Bag,₹839,3.7,7
https://www.amazon.in//sspa/click,"EUME Virgo 3 Compartment Office and College Bags, Polyester Casual Daypacks, Laptop Backpacks","₹1,199",4.2,297
https://www.amazon.in//MuscleBlaze-Duffle-Women-Sports-Weekender/dp/B0C8BBNB8B/ref=sr_1_83,"MuscleBlaze Gym Duffle Bag for Women and Men, Sports Bag, Weekender Bag, Black, 30 L",₹449,5.0,4
https://www.amazon.in//Half-Moon-Backpack-Spacious-Multiple/dp/B0C23Z9W18/ref=sr_1_84,Half Moon Aztec 37L School Bag Class 5-12 | College Bagpack for Men/College Back pack for Women | 15.6 inch Laptop Bag for Men/Backpack for Men | Spacious & Multiple Pockets,₹649,3.7,154
https://www.amazon.in//Swisslook-Polyester-15-6-inch-Backpack-Waterproof/dp/B07XYTZP4Z/ref=sr_1_85,Red Lemon Swisslook Polyester Bange Series 45L 15.6-inch Laptop Bags Backpack for Men and Women Semi Waterproof USB with Anti Theft Pocket Travel Backpack,"₹2,839",4.3,"1,707"
